"month","country"
"2017-11","MM"
"2017-12","MM"
"2018-1","MM"
"2018-2","MM"
"2018-3","MM"
"2018-4","MM"
"2018-5","MM"
"2018-6","MM"
"2018-7","MM"
"2018-8","MM"
"2018-9","MM"
"2018-10","MM"
"2018-11","MM"
"2018-12","MM"
"2019-1","MM"
"2019-2","MM"
"2017-11","MA"
"2017-12","MA"
"2018-1","MA"
"2018-2","MA"
"2018-3","MA"
"2018-4","MA"
"2018-5","MA"
"2018-6","MA"
"2018-7","MA"
"2018-8","MA"
"2018-9","MA"
"2018-10","MA"
"2018-11","MA"
"2018-12","MA"
"2019-1","MA"
"2019-2","MA"
"2017-11","MS"
"2017-12","MS"
"2018-1","MS"
"2018-2","MS"
"2018-3","MS"
"2018-4","MS"
"2018-5","MS"
"2018-6","MS"
"2018-7","MS"
"2018-8","MS"
"2018-9","MS"
"2018-10","MS"
"2018-11","MS"
"2018-12","MS"
"2019-1","MS"
"2019-2","MS"
"2017-11","ME"
"2017-12","ME"
"2018-1","ME"
"2018-2","ME"
"2018-3","ME"
"2018-4","ME"
"2018-5","ME"
"2018-6","ME"
"2018-7","ME"
"2018-8","ME"
"2018-9","ME"
"2018-10","ME"
"2018-11","ME"
"2018-12","ME"
"2019-1","ME"
"2019-2","ME"
"2017-11","MN"
"2017-12","MN"
"2018-1","MN"
"2018-2","MN"
"2018-3","MN"
"2018-4","MN"
"2018-5","MN"
"2018-6","MN"
"2018-7","MN"
"2018-8","MN"
"2018-9","MN"
"2018-10","MN"
"2018-11","MN"
"2018-12","MN"
"2019-1","MN"
"2019-2","MN"
"2017-11","FM"
"2017-12","FM"
"2018-1","FM"
"2018-2","FM"
"2018-3","FM"
"2018-4","FM"
"2018-5","FM"
"2018-6","FM"
"2018-7","FM"
"2018-8","FM"
"2018-9","FM"
"2018-10","FM"
"2018-11","FM"
"2018-12","FM"
"2019-1","FM"
"2019-2","FM"
"2017-11","MX"
"2017-12","MX"
"2018-1","MX"
"2018-2","MX"
"2018-3","MX"
"2018-4","MX"
"2018-5","MX"
"2018-6","MX"
"2018-7","MX"
"2018-8","MX"
"2018-9","MX"
"2018-10","MX"
"2018-11","MX"
"2018-12","MX"
"2019-1","MX"
"2019-2","MX"
"2017-11","YT"
"2017-12","YT"
"2018-1","YT"
"2018-2","YT"
"2018-3","YT"
"2018-4","YT"
"2018-5","YT"
"2018-6","YT"
"2018-7","YT"
"2018-8","YT"
"2018-9","YT"
"2018-10","YT"
"2018-11","YT"
"2018-12","YT"
"2019-1","YT"
"2019-2","YT"
"2017-11","MU"
"2017-12","MU"
"2018-1","MU"
"2018-2","MU"
"2018-3","MU"
"2018-4","MU"
"2018-5","MU"
"2018-6","MU"
"2018-7","MU"
"2018-8","MU"
"2018-9","MU"
"2018-10","MU"
"2018-11","MU"
"2018-12","MU"
"2019-1","MU"
"2019-2","MU"
"2017-11","MH"
"2017-12","MH"
"2018-1","MH"
"2018-2","MH"
"2018-3","MH"
"2018-4","MH"
"2018-5","MH"
"2018-6","MH"
"2018-7","MH"
"2018-8","MH"
"2018-9","MH"
"2018-10","MH"
"2018-11","MH"
"2018-12","MH"
"2019-1","MH"
"2019-2","MH"
"2017-11","MT"
"2017-12","MT"
"2018-1","MT"
"2018-2","MT"
"2018-3","MT"
"2018-4","MT"
"2018-5","MT"
"2018-6","MT"
"2018-7","MT"
"2018-8","MT"
"2018-9","MT"
"2018-10","MT"
"2018-11","MT"
"2018-12","MT"
"2019-1","MT"
"2019-2","MT"
"2017-11","ML"
"2017-12","ML"
"2018-1","ML"
"2018-2","ML"
"2018-3","ML"
"2018-4","ML"
"2018-5","ML"
"2018-6","ML"
"2018-7","ML"
"2018-8","ML"
"2018-9","ML"
"2018-10","ML"
"2018-11","ML"
"2018-12","ML"
"2019-1","ML"
"2019-2","ML"
"2017-11","MO"
"2017-12","MO"
"2018-1","MO"
"2018-2","MO"
"2018-3","MO"
"2018-4","MO"
"2018-5","MO"
"2018-6","MO"
"2018-7","MO"
"2018-8","MO"
"2018-9","MO"
"2018-10","MO"
"2018-11","MO"
"2018-12","MO"
"2019-1","MO"
"2019-2","MO"
"2017-11","LU"
"2017-12","LU"
"2018-1","LU"
"2018-2","LU"
"2018-3","LU"
"2018-4","LU"
"2018-5","LU"
"2018-6","LU"
"2018-7","LU"
"2018-8","LU"
"2018-9","LU"
"2018-10","LU"
"2018-11","LU"
"2018-12","LU"
"2019-1","LU"
"2019-2","LU"
"2017-11","TC"
"2017-12","TC"
"2018-1","TC"
"2018-2","TC"
"2018-3","TC"
"2018-4","TC"
"2018-5","TC"
"2018-6","TC"
"2018-7","TC"
"2018-8","TC"
"2018-9","TC"
"2018-10","TC"
"2018-11","TC"
"2018-12","TC"
"2019-1","TC"
"2019-2","TC"
"2017-11","LI"
"2017-12","LI"
"2018-1","LI"
"2018-2","LI"
"2018-3","LI"
"2018-4","LI"
"2018-5","LI"
"2018-6","LI"
"2018-7","LI"
"2018-8","LI"
"2018-9","LI"
"2018-10","LI"
"2018-11","LI"
"2018-12","LI"
"2019-1","LI"
"2019-2","LI"
"2017-11","LR"
"2017-12","LR"
"2018-1","LR"
"2018-2","LR"
"2018-3","LR"
"2018-4","LR"
"2018-5","LR"
"2018-6","LR"
"2018-7","LR"
"2018-8","LR"
"2018-9","LR"
"2018-10","LR"
"2018-11","LR"
"2018-12","LR"
"2019-1","LR"
"2019-2","LR"
"2017-11","LV"
"2017-12","LV"
"2018-1","LV"
"2018-2","LV"
"2018-3","LV"
"2018-4","LV"
"2018-5","LV"
"2018-6","LV"
"2018-7","LV"
"2018-8","LV"
"2018-9","LV"
"2018-10","LV"
"2018-11","LV"
"2018-12","LV"
"2019-1","LV"
"2019-2","LV"
"2017-11","KW"
"2017-12","KW"
"2018-1","KW"
"2018-2","KW"
"2018-3","KW"
"2018-4","KW"
"2018-5","KW"
"2018-6","KW"
"2018-7","KW"
"2018-8","KW"
"2018-9","KW"
"2018-10","KW"
"2018-11","KW"
"2018-12","KW"
"2019-1","KW"
