alpha-2,geo,name
IT,"{""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[15.543473243713322, 38.30180740356474], [15.084304809570426, 37.48263931274414], [15.267359733581543, 37.00180435180664], [15.139861106872559, 36.6840438842774], [14.49374866485607, 36.785968780517805], [12.424027442932129, 37.80236053466825], [12.77013874053955, 38.17736053466808], [13.745139122009391, 37.970138549804915], [14.376250267028865, 38.016803741455135], [15.543473243713322, 38.30180740356474]]], [[[9.227081298828068, 41.259300231933594], [9.827637672424373, 40.529861450195426], [9.55819225311285, 39.13153076171898], [9.092081069946232, 39.21291732788097], [8.606804847717399, 38.89236068725586], [8.366526603698844, 39.22847366333008], [8.483194351196346, 40.285972595214844], [8.222919464111442, 40.88624954223644], [8.790970802307186, 40.922084808349666], [9.227081298828068, 41.259300231933594]]], [[[13.713724136352653, 46.52322006225597], [13.382119178771973, 46.293251037597884], [13.722361564636344, 45.59497070312523], [13.628473281860465, 45.770694732666016], [12.256528854370117, 45.46097183227562], [12.479582786560115, 44.86541748046881], [12.240416526794547, 44.68708419799805], [12.37125110626232, 44.24208450317377], [12.687082290649414, 43.98708343505865], [13.528751373291072, 43.621807098388615], [13.998193740844727, 42.70347213745117], [14.717914581298828, 42.10569381713884], [15.102084159851131, 41.933471679687614], [16.05958366394043, 41.94930648803711], [15.981805801391545, 41.4448623657226], [17.933750152587947, 40.68097305297874], [18.52069473266613, 40.10791778564459], [18.369028091430778, 39.793193817138615], [17.855138778686523, 40.285972595214844], [17.08736038208002, 40.520416259765625], [16.609027862548828, 40.08458328247082], [16.529581069946403, 39.660972595214844], [17.15513992309576, 39.39875030517601], [17.09319305419922, 38.90597152709984], [16.537082672119084, 38.72097396850609], [16.571252822876033, 38.42652893066406], [16.063474655151424, 37.924026489257926], [15.763749122619743, 37.91624832153343], [15.635972023010197, 38.23263931274431], [16.13458251953125, 38.71736145019531], [15.994859695434627, 39.444305419921875], [15.574583053588924, 40.078193664550895], [14.904582977294865, 40.25319290161144], [14.755415916442928, 40.67736053466797], [14.08791732788086, 40.83041763305664], [13.706804275512752, 41.253471374511776], [13.045970916748104, 41.2262496948245], [12.623193740844727, 41.444026947021484], [11.636528968811035, 42.29264068603544], [11.240416526794547, 42.41819381713873], [10.530138015747127, 43.229862213134766], [10.24152660369873, 43.86986160278343], [9.230415344238338, 44.34819412231445], [8.744027137756348, 44.42708206176769], [8.12874984741211, 43.92569351196306], [7.529582500457764, 43.78396224975586], [7.684199810028019, 44.17726135253912], [7.037686347961483, 44.2255668640139], [7.076940059661979, 44.684730529785156], [6.6352801322939285, 45.09720993041992], [7.185120105743522, 45.403694152832145], [6.8242769241334145, 45.721870422363565], [7.043088912963981, 45.938652038574446], [7.873587131500301, 45.92811965942394], [8.46934032440197, 46.451969146728686], [8.463932037353572, 46.22608184814476], [9.021220207214355, 46.05251693725597], [9.464389801025504, 46.514347076416186], [9.548737525939941, 46.31050872802729], [10.403956413269157, 46.638477325439396], [10.472500801086369, 46.85797119140625], [11.00927925109869, 46.765209197998274], [11.164586067199764, 46.9681968688966], [12.124311447143555, 47.00744628906244], [12.559069633484, 46.65792083740257], [13.713724136352653, 46.52322006225597]], [[12.511385917663688, 43.99569320678728], [12.402432441711483, 43.95056533813482], [12.486310958862248, 43.899871826171875], [12.511385917663688, 43.99569320678728]], [[12.455550193786678, 41.90755081176758], [12.447910308837834, 41.90103912353527], [12.458400726318303, 41.90184020996105], [12.455550193786678, 41.90755081176758]]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""IT""}}",Italy
JM,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-77.83541870117188, 18.52514076232933], [-76.95402526855469, 18.401805877685774], [-76.33708190917969, 18.155693054199276], [-76.18152618408192, 17.911806106567496], [-76.8412475585937, 17.97930526733421], [-77.74153137207026, 17.85402870178251], [-78.21430206298828, 18.455694198608512], [-77.83541870117188, 18.52514076232933]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""JM""}}",Jamaica
JP,"{""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[129.69044494628918, 28.5267391204834], [129.3372192382816, 28.1686115264892], [129.1408386230471, 28.25749969482422], [129.69044494628918, 28.5267391204834]]], [[[131.0059509277345, 33.9627685546875], [131.10629272460972, 33.61750793457031], [131.7296600341797, 33.5881156921389], [131.5134735107423, 33.26725006103527], [131.88941955566418, 33.267120361328125], [132.0169372558595, 32.93055725097679], [131.6808319091797, 32.542221069336165], [131.37179565429722, 31.428529739379883], [131.12025451660156, 31.47438240051281], [130.96278381347702, 31.13777732849144], [130.68499755859375, 31.734445571899585], [130.6666717529297, 31.266387939453352], [130.21221923828148, 31.25638961791998], [130.31777954101574, 31.6566677093507], [130.18122863769565, 32.11063003540039], [130.66127014160168, 32.63303375244146], [130.36183166503918, 33.14767074584961], [130.17829895019577, 32.79441452026367], [129.6999206542971, 32.83327484130882], [129.56954956054688, 33.377769470215014], [130.0255584716798, 33.4469451904298], [130.4446563720703, 33.81530380249029], [131.0059509277345, 33.9627685546875]]], [[[134.1368865966797, 34.40008163452154], [134.75071716308594, 33.83360290527344], [134.3097839355471, 33.573638916015625], [134.1775360107422, 33.24375534057617], [133.71365356445312, 33.53777694702154], [133.25898742675804, 33.364139556884766], [133.02278137207043, 32.72666549682617], [132.63099670410168, 32.8015785217288], [132.3056640625, 33.47333145141613], [132.65919494628918, 33.70298767089844], [132.9417724609375, 34.14132308959972], [133.50021362304688, 33.969089508056754], [133.62210083007812, 34.23561477661133], [134.1368865966797, 34.40008163452154]]], [[[138.50410461425793, 38.332588195800895], [138.4996337890626, 37.91954040527361], [138.245574951172, 37.8030891418457], [138.50410461425793, 38.332588195800895]]], [[[140.9250946044923, 41.534412384033146], [141.3108367919922, 41.351112365722884], [141.5004425048828, 40.54029083251976], [141.95643615722656, 39.98271560668951], [142.04441833496094, 39.42535018920921], [141.62426757812523, 39.00098419189453], [141.45820617675793, 38.37267303466808], [141.10621643066418, 38.38568115234375], [140.91528320312523, 38.01250076293945], [140.98306274414074, 36.99555587768555], [140.5622253417971, 36.298053741455305], [140.86582946777344, 35.69313049316429], [140.4455566406251, 35.52222442626953], [140.40542602539062, 35.2368736267091], [139.9263916015626, 34.90889358520525], [139.81227111816418, 35.30702209472656], [139.2095184326172, 35.27798080444336], [139.13027954101574, 34.87749862670904], [138.84249877929722, 34.600276947021655], [138.7930603027345, 35.12152099609398], [138.55796813964844, 35.100849151611385], [138.1947021484376, 34.66486740112333], [137.01719665527344, 34.57866287231474], [137.2882995605471, 34.81261062622093], [136.65583801269577, 34.9980545043947], [136.53805541992188, 34.61611175537121], [136.8999938964845, 34.275554656982536], [136.34527587890648, 34.207221984863395], [135.9598846435548, 33.58184814453142], [135.5183563232423, 33.52155303955078], [135.05841064453148, 33.87966156005865], [135.06103515625, 34.26426696777338], [135.4451293945316, 34.555736541748104], [134.64566040039085, 34.788494110107365], [133.78860473632812, 34.43516540527338], [132.59652709960938, 34.228500366211165], [132.22511291503918, 34.24257278442394], [132.1585083007817, 33.8459091186524], [131.73814392089855, 34.06126403808605], [130.89585876464855, 33.93550872802757], [130.86708068847668, 34.28931045532255], [131.38647460937534, 34.416980743408374], [131.82202148437523, 34.69609832763672], [132.6311950683595, 35.43486022949219], [134.92056274414062, 35.6450004577639], [135.56008911132824, 35.49029922485374], [136.10028076171886, 35.77694320678711], [135.96432495117188, 35.99728393554682], [136.757537841797, 36.86151885986328], [136.72390747070335, 37.327720642089844], [137.2760925292971, 37.53439331054699], [136.98472595214855, 36.86555480957031], [138.22621154785168, 37.172012329101506], [138.81996154785168, 37.794296264648665], [139.3916168212894, 38.12888717651367], [140.01666259765625, 39.38916778564453], [140.07377624511741, 40.04020309448242], [139.75588989257824, 39.856304168701286], [140.02487182617188, 40.354377746582145], [139.85948181152355, 40.613151550293196], [140.242645263672, 40.78506088256836], [140.34527587890636, 41.260833740234546], [140.68824768066406, 40.876407623291186], [141.1502838134768, 40.88027954101557], [141.2311859130864, 41.24434661865246], [140.81097412109398, 41.12756729125971], [140.9250946044923, 41.534412384033146]]], [[[141.93801879882835, 45.522708892822436], [142.74148559570324, 44.7578887939456], [143.73489379882812, 44.10369491577171], [144.79168701171886, 43.93007659912121], [145.34429931640625, 44.33935165405268], [145.06195068359386, 43.80638885498064], [145.31971740722656, 43.28250122070335], [144.78416442871116, 42.938331604003906], [144.31597900390636, 43.005287170410156], [143.61981201171886, 42.66297531127941], [143.24180603027344, 41.92412567138683], [141.88993835449241, 42.58208847045927], [141.44888305664097, 42.58805465698242], [141.00299072265625, 42.3006210327149], [140.47177124023438, 42.5876922607423], [140.27508544921886, 42.28735733032232], [141.18623352050793, 41.80222320556646], [140.62422180175804, 41.80723953247093], [140.04075622558616, 41.44972610473627], [140.1414337158203, 41.914543151855696], [139.77444458007812, 42.25916671752958], [139.86721801757835, 42.66444396972656], [140.51628112792991, 42.9852943420413], [140.49856567382835, 43.37257766723633], [141.16137695312545, 43.14390945434593], [141.42370605468784, 43.328109741210994], [141.32949829101562, 43.72500610351585], [141.65863037109386, 44.003730773926065], [141.76422119140625, 44.807693481445426], [141.5720672607423, 45.237918853759766], [141.93801879882835, 45.522708892822436]]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""JP""}}",Japan
JE,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-2.159583091735783, 49.262638092041186], [-2.0262489318847656, 49.1668052673341], [-2.2448620796203045, 49.1823616027832], [-2.159583091735783, 49.262638092041186]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""JE""}}",Jersey
JO,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[39.28906250000006, 32.27078247070335], [38.99691009521513, 31.994726181030273], [37.00248336791998, 31.49364852905296], [37.99681854248047, 30.500635147094954], [37.500610351562784, 29.997808456421012], [36.75305175781256, 29.867208480834904], [36.07088470458996, 29.18587875366211], [35.00000000000006, 29.352672576904354], [34.96601104736345, 29.54706573486328], [35.152011871338175, 30.418621063232422], [35.459789276123104, 31.120376586914006], [35.475585937500284, 31.488241195678825], [35.5597305297851, 32.39043426513683], [35.77956771850603, 32.75194549560547], [36.40965652465843, 32.382194519043196], [36.845825195312784, 32.31248474121094], [38.79683685302763, 33.368171691894645], [39.05354690551775, 32.581970214843864], [39.28906250000006, 32.27078247070335]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""JO""}}",Jordan
KZ,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[87.31257629394526, 49.09969329834007], [86.85520172119135, 49.107521057129134], [86.5847473144533, 48.541519165039176], [85.7354507446289, 48.37100219726574], [85.54159545898449, 47.93943786621094], [85.70717620849626, 47.37551498413103], [85.52972412109403, 47.05939865112333], [84.70333099365229, 46.83412551879894], [84.70473480224615, 46.99623489379894], [84.03821563720714, 46.96535110473644], [83.0308761596682, 47.212120056152344], [82.27571868896484, 45.5453987121582], [82.590141296387, 45.44562149047846], [82.48620605468761, 45.120670318603516], [81.45276641845732, 45.26869964599621], [80.08183288574236, 45.04956054687494], [79.85198211669916, 44.90494918823242], [80.48973846435553, 44.71142959594738], [80.34282684326178, 44.48129653930681], [80.79944610595709, 43.17541885375982], [80.25833129882818, 42.828430175781364], [80.24562835693388, 42.220890045166016], [79.50945281982439, 42.45636749267595], [78.50047302246111, 42.90044784545893], [77.96809387207026, 42.849822998046875], [76.85968017578153, 42.985080718994254], [76.72323608398438, 42.905181884765625], [75.23238372802729, 42.837669372558594], [74.29430389404325, 43.23823547363304], [73.5712966918947, 43.03424453735374], [73.51107025146484, 42.41622924804699], [71.86363983154314, 42.83280944824247], [71.00692749023443, 42.56909179687517], [70.94535064697288, 42.262252807617415], [70.43330383300776, 42.13007736206049], [69.95210266113298, 41.718791961670036], [69.03324127197271, 41.34217071533209], [68.41677093505882, 40.57523727417009], [67.88935089111328, 40.857547760009766], [68.01760101318388, 41.12104797363281], [66.60610198974615, 41.251403808593864], [66.53076171875006, 41.896293640137], [66.00854492187506, 41.94349670410156], [66.09920501709013, 42.962192535400504], [65.82718658447271, 42.868133544921875], [65.65107727050781, 43.303516387939624], [65.01026153564459, 43.766853332519645], [64.53653717041027, 43.603313446044865], [63.3888893127442, 43.67285537719732], [62.02869796752947, 43.48651504516607], [61.275432586670206, 44.13676452636719], [61.036132812500284, 44.13707351684593], [59.45755004882818, 45.113582611084155], [58.56971740722662, 45.57110595703148], [55.99810028076183, 45.00000000000017], [55.998683929443416, 43.93241119384777], [56.00059890747093, 41.31804656982422], [55.52576065063471, 41.25026702880871], [54.83601379394531, 42.0223846435548], [54.189052581787394, 42.34146499633789], [53.420188903808594, 42.25881195068382], [52.44143295288086, 41.765449523926065], [52.43399810791044, 42.16096115112316], [52.740909576416016, 42.62204360961914], [52.43075180053711, 42.83862686157255], [51.91213226318365, 42.82872390747082], [51.652057647705135, 43.17762374877947], [51.26828765869158, 43.15116119384777], [51.26669311523466, 43.561321258545206], [50.77290725708008, 44.23529434204124], [50.26479339599621, 44.35159301757818], [50.30873107910156, 44.644592285156534], [50.89949417114252, 44.61154556274414], [50.83926391601591, 44.826026916503906], [51.73514556884794, 45.445243835449446], [52.57076644897461, 45.420818328857365], [52.925735473632926, 45.91246032714844], [53.075073242187784, 46.42218780517601], [52.91017532348661, 46.765476226806925], [52.25634765625, 46.74584960937523], [51.62931060791027, 46.945095062255916], [50.9130210876466, 46.95815658569336], [50.21721267700207, 46.75019073486345], [49.61884689331083, 46.269950866699446], [49.16375732421875, 46.36101150512695], [48.48070526123064, 46.657672882080135], [49.00532531738287, 46.76715469360357], [48.607757568359375, 47.41446685791027], [48.058250427246094, 47.76065063476574], [47.174312591552734, 47.76074600219738], [47.20780181884771, 48.07840347290062], [46.49185562133789, 48.44301223754877], [47.05284500122076, 49.16491317749052], [46.78265762329113, 49.3326530456543], [46.89287567138672, 49.83929443359369], [47.224128723144474, 49.9663658142091], [47.55146026611345, 50.46271514892601], [48.34806060791021, 49.82892608642584], [48.73499679565458, 49.926750183105696], [48.578399658203125, 50.663932800293196], [49.410907745361555, 50.85842514038097], [49.420497894287394, 51.129589080810774], [50.367633819580305, 51.34031295776384], [50.56764984130888, 51.64244079589855], [51.26677703857439, 51.68973541259771], [51.6491241455081, 51.46871566772484], [52.35429763793951, 51.759780883789176], [52.54562759399437, 51.46736526489258], [53.37876892089861, 51.514003753662394], [53.65905761718773, 51.24125671386719], [55.66372299194336, 50.57223510742199], [56.49706649780279, 51.08807754516613], [58.54582595825224, 51.07506561279291], [58.88339996337908, 50.709072113037166], [59.83271408081083, 50.58429336547874], [60.06900405883795, 50.86558151245134], [60.35491943359392, 50.679359436035384], [61.45083999633795, 50.80731582641613], [61.51049041748075, 51.413852691650504], [60.05950927734381, 51.98350143432617], [61.07188034057623, 52.33768081665039], [60.714519500732365, 52.65380859375017], [61.23683929443354, 53.031814575195256], [62.137271881103516, 53.0057373046875], [61.18274307250988, 53.296154022217024], [61.04401016235374, 53.64721298217768], [61.461063385009936, 54.08398437500023], [62.437507629394474, 54.05506896972685], [63.16834640502947, 54.19244384765625], [65.24020385742205, 54.36748504638683], [65.50131225585955, 54.65118408203142], [66.02005004882841, 54.618091583252124], [68.20141601562506, 54.957935333251896], [68.93907165527355, 55.42966842651384], [70.21791839599638, 55.13327789306652], [70.82019042968756, 55.29795837402344], [71.29718017578142, 54.66545867919916], [71.21038818359392, 54.11090087890648], [72.60094451904303, 54.13400268554693], [73.28933715820341, 53.953342437744084], [73.75037384033197, 54.054321289062614], [73.24596405029303, 53.57526016235363], [74.24215698242188, 53.59376525878906], [75.01684570312511, 53.784523010254134], [75.60086059570341, 54.105052947998274], [76.93796539306658, 54.43046569824213], [76.5838241577149, 53.9677543640139], [77.91151428222656, 53.27854156494146], [79.07403564453125, 52.04165649414074], [79.94933319091803, 50.899799346923885], [80.46884155273455, 50.97445297241205], [80.6714706420899, 51.30805969238287], [81.14469146728521, 51.20169067382824], [81.44934844970732, 50.76287078857439], [82.54830932617193, 50.769207000732536], [83.11965942382807, 51.03537750244152], [83.81191253662115, 50.884899139404524], [84.26255035400408, 50.26967239379894], [84.9321212768557, 50.09061431884771], [85.21229553222662, 49.62680816650385], [85.93133544921875, 49.55242156982416], [86.61799621582037, 49.63164520263672], [87.31257629394526, 49.09969329834007]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""KZ""}}",Kazakhstan
KE,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[35.86994934082037, 4.627306938171444], [36.04907989501976, 4.4493751525879475], [36.83879852294916, 4.443952083587874], [38.12617111206049, 3.606842041015909], [38.553203582763786, 3.612559318542708], [39.49840545654291, 3.453788042068652], [39.86188888549822, 3.864088296890486], [40.77518081665045, 4.277197837829817], [41.112724304199276, 3.9868569374084473], [41.926216125488565, 4.00229549407976], [41.32812881469732, 3.1586349010469803], [40.98656082153349, 2.81938099861145], [40.99068832397461, 1.2307709455490112], [41.004299163818644, -0.8235780000686646], [41.57541656494146, -1.6423619985579307], [41.27847290039068, -1.987084031104871], [40.95041656494169, -2.0845830440519535], [40.82513809204107, -2.3923621177671066], [40.19708251953142, -2.7359709739682785], [40.113471984863565, -3.2990269660948], [39.40486145019554, -4.646248817443734], [39.197910308837834, -4.666061401367074], [37.78580093383795, -3.6770985126493088], [37.58544921875023, -3.440469264984131], [37.672573089599894, -3.0677049160002525], [36.49813842773449, -2.387918710708391], [34.077529907226506, -1.0262459516523563], [33.93090438842802, -0.9932060241699219], [33.98701477050787, -0.12846499681472778], [33.91394805908203, 0.11254400014900057], [34.50248718261713, 1.070647954940796], [34.795150756835994, 1.223237037658805], [34.99120330810547, 1.6645120382309528], [34.897274017333984, 2.588252067565918], [34.599010467529524, 2.924946069717521], [34.390960693359375, 3.4832580089571366], [34.46319961547857, 3.6698338985445957], [34.0019645690918, 4.2213649749757], [34.37145996093744, 4.62429237365734], [35.441036224365405, 5.05815601348894], [35.58360290527361, 4.6238899230959305], [35.86994934082037, 4.627306938171444]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""KE""}}",Kenya
KI,"{""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-157.42555236816406, 1.8577769994735718], [-157.2072296142578, 1.6930550336838337], [-157.4388885498047, 1.7888879776000977], [-157.42555236816406, 1.8577769994735718]]], [[[-143.07250976562494, -17.833070755004826], [-143.06639099121088, -17.83650779724121], [-143.0662994384765, -17.836757659912053], [-143.06832885742188, -17.839599609375], [-143.0694122314453, -17.836902618408203], [-143.08551025390625, -17.84721946716303], [-143.0863189697265, -17.85085868835438], [-143.0904998779297, -17.849796295165845], [-143.07250976562494, -17.833070755004826]]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""KI""}}",Kiribati
XK,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[21.59392166137701, 42.247520446777344], [21.094049453735465, 42.19702911376976], [20.569585800171183, 41.786544799804915], [20.524263381958065, 42.202407836914176], [20.033109664916935, 42.548316955566406], [20.313747406005916, 42.82624053955101], [20.555688858032227, 43.182804107666016], [21.1242351531983, 43.07551956176786], [21.377216339111328, 42.73141098022472], [21.793048858642635, 42.64011764526367], [21.59392166137701, 42.247520446777344]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""XK""}}",Kosovo
KW,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[47.95291137695324, 30.020095825195312], [48.19152832031244, 29.547361373901367], [47.978473663330135, 29.39236259460472], [48.429306030273494, 28.535696029663086], [47.70495223999029, 28.524614334106673], [47.460556030273665, 29.000440597534237], [46.550617218017635, 29.105337142944393], [47.35110473632841, 30.08166122436529], [47.95291137695324, 30.020095825195312]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""KW""}}",Kuwait
KG,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[80.24562835693388, 42.220890045166016], [79.6704940795899, 41.79009628295921], [79.45201873779291, 41.849201202392805], [78.39241027832037, 41.41043090820335], [78.1900329589846, 41.07902908325218], [76.78607177734403, 40.96065521240257], [76.52132415771513, 40.462623596191406], [75.69992065429705, 40.27729034423834], [75.59310913085955, 40.658714294433594], [75.22893524169933, 40.445121765136946], [74.82811737060553, 40.52474975585932], [74.3404388427735, 40.08385086059582], [74.02391052246111, 40.09830474853533], [73.94136810302734, 39.60290908813499], [73.65824127197277, 39.46508407592785], [73.21854400634771, 39.360469818115234], [71.75267028808594, 39.323959350586165], [71.49893188476574, 39.61362075805687], [70.76802825927746, 39.399356842041186], [70.52400970459007, 39.63257980346691], [69.36522674560564, 39.51653671264671], [69.38189697265648, 40.000000000000114], [69.99613189697277, 40.221988677978516], [70.56509399414074, 40.02069854736328], [70.96849822998058, 40.22804260253929], [71.27732086181658, 40.326725006103516], [71.71619415283197, 40.150802612304915], [72.15248870849615, 40.457317352295036], [72.42081451416016, 40.40492630004883], [73.12312316894537, 40.79745864868164], [71.89035797119158, 41.17217254638672], [71.72600555419928, 41.553714752197436], [71.43507385253923, 41.12362289428711], [70.80353546142595, 41.22722244262718], [70.71324920654325, 41.46473312377941], [70.19976043701195, 41.512512207031364], [71.26653289794928, 42.199798583984375], [70.94535064697288, 42.262252807617415], [71.00692749023443, 42.56909179687517], [71.86363983154314, 42.83280944824247], [73.51107025146484, 42.41622924804699], [73.5712966918947, 43.03424453735374], [74.29430389404325, 43.23823547363304], [75.23238372802729, 42.837669372558594], [76.72323608398438, 42.905181884765625], [76.85968017578153, 42.985080718994254], [77.96809387207026, 42.849822998046875], [78.50047302246111, 42.90044784545893], [79.50945281982439, 42.45636749267595], [80.24562835693388, 42.220890045166016]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""KG""}}",Kyrgyzstan
LA,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[102.1451416015625, 22.401031494140852], [102.61739349365234, 21.91800117492687], [102.66620635986328, 21.68219947814964], [102.98680877685564, 21.726053237915266], [102.89759826660162, 21.24404525756836], [103.11598968505865, 20.897277832031477], [103.681884765625, 20.660285949706974], [104.12084197998075, 20.97052764892601], [104.63719940185558, 20.67145156860346], [104.61234283447271, 20.244789123535213], [104.9713592529298, 20.098178863525618], [104.64536285400419, 19.624917984009016], [104.07115936279297, 19.682353973388672], [103.87349700927746, 19.320051193237532], [104.73923492431652, 18.800498962402344], [105.13322448730491, 18.71681213378912], [105.102798461914, 18.447734832763672], [106.44167327880882, 16.99483489990257], [106.68631744384783, 16.44024848938011], [106.83057403564476, 16.549053192138786], [107.39265441894537, 15.887240409851074], [107.21459197998058, 15.824101448059196], [107.63454437255865, 15.319499969482422], [107.5381164550783, 14.688091278076115], [106.85473632812517, 14.28551197052019], [106.54441833496094, 14.59097099304222], [106.02848052978516, 14.343401908874625], [106.17642974853527, 14.024020195007552], [105.91262054443388, 13.926250457763786], [105.21039581298845, 14.341489791870345], [105.53714752197266, 14.55844974517828], [105.6376113891601, 15.658711433410701], [105.41419219970709, 16.012958526611328], [105.04315948486328, 16.107429504394815], [104.73641967773455, 16.56946945190441], [104.80197906494169, 17.382730484009073], [104.2777709960938, 17.8555908203125], [103.97753906250006, 18.332412719726733], [103.41491699218756, 18.4461612701416], [103.01946258544922, 17.96995925903343], [102.60395050048857, 17.955551147460938], [102.0898208618164, 18.21780967712408], [101.31578826904314, 17.649299621582145], [100.96009063720703, 17.572151184082202], [101.18527221679699, 18.06191062927263], [101.05628204345709, 18.44054031372076], [101.3589096069336, 19.047470092773438], [101.28337097167986, 19.57975006103544], [100.48171997070312, 19.48764038085949], [100.51528930664062, 20.143909454345703], [100.08676910400413, 20.350891113281534], [100.25948333740251, 20.74695968627941], [100.50348663330078, 20.809890747070312], [100.727104187012, 21.31212425231945], [101.15474700927763, 21.563869476318644], [101.29039764404291, 21.178060531616495], [101.78785705566423, 21.14003181457514], [101.7814559936524, 21.832490921020735], [101.54704284667974, 22.250141143798942], [101.68901824951166, 22.471498489379996], [102.1451416015625, 22.401031494140852]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""LA""}}",Laos
LV,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[27.336309432983512, 57.54629898071312], [27.844026565551758, 57.31617355346691], [27.841600418090877, 56.87781524658203], [28.151191711425895, 56.16106414794922], [27.591962814331055, 55.78184890747076], [26.638380050659237, 55.66371917724621], [25.68810272216797, 56.14548873901367], [24.86470222473139, 56.40702819824247], [24.440225601196346, 56.25683975219721], [21.996791839599666, 56.41672134399431], [21.066389083862532, 56.064453125000114], [21.06361389160162, 56.84097290039057], [21.685832977294922, 57.55458450317411], [22.606945037841854, 57.75708389282249], [23.2369441986084, 57.10902786254911], [23.76083374023449, 56.97013854980486], [24.41249847412132, 57.28736114501953], [24.353975296020508, 57.875770568847656], [25.286830902099723, 58.08162307739258], [26.557426452636662, 57.513946533203125], [27.336309432983512, 57.54629898071312]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""LV""}}",Latvia
LB,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[35.81722259521479, 33.36403274536144], [35.5027503967288, 33.093322753906364], [35.102920532226506, 33.094058990478516], [35.97533035278326, 34.63983917236328], [36.46376800537138, 34.6361541748048], [36.617130279541016, 34.20781326293968], [35.93351745605497, 33.65084075927746], [35.81722259521479, 33.36403274536144]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""LB""}}",Lebanon
LS,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[28.651269912719783, -28.57115936279297], [29.356149673462085, -29.127580642700195], [29.455610275268725, -29.341199874877816], [29.10371971130371, -29.96697998046875], [28.206909179687443, -30.290670394897347], [28.123199462890625, -30.663389205932617], [27.78758049011242, -30.618860244750977], [27.366889953613395, -30.27366065979004], [27.096580505371378, -29.72993087768549], [27.753589630127067, -28.89800071716286], [28.651269912719783, -28.57115936279297]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""LS""}}",Lesotho
LR,"{""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-8.472180366516056, 7.554582118988094], [-8.290595054626465, 7.181774139404467], [-8.338418006896973, 6.760616779327449], [-8.599302291870117, 6.505596160888672], [-7.8541431427001385, 6.229475975036621], [-7.378786087036133, 5.623882770538614], [-7.5917887687683105, 4.90559196472185], [-7.5226240158081055, 4.362362861633301], [-8.250140190124455, 4.5726380348205], [-9.297916412353516, 5.151526927948112], [-10.39847183227539, 6.146248817444075], [-11.360694885253906, 6.706251144409464], [-11.48569488525385, 6.91782999038702], [-11.308809280395451, 7.203296184539852], [-10.601117134094238, 7.770023822784708], [-10.600068092346191, 8.026383399963663], [-10.289432525634766, 8.221615791321085], [-10.268709182739258, 8.491206169128645], [-9.486963272094727, 8.380972862243652], [-9.410858154296818, 7.4234948158265865], [-9.065999984741211, 7.200960159301758], [-8.5597305297851, 7.692628860473917], [-8.472180366516056, 7.554582118988094]]]}, ""type"": ""Feature"", ""properties"": {""alpha-2"": ""LR""}}",Liberia
