count,country,day,issue,language,month
1,DE,2017-10-22,biodiversity,es,2017-10
8,MX,2017-10-22,extinction,es,2017-10
18,CO,2017-10-22,extinction,es,2017-10
1,PA,2017-10-22,extinction,es,2017-10
20,US,2017-10-22,biosphere,es,2017-10
5,IT,2017-10-22,biosphere,es,2017-10
29,IT,2017-10-22,biodiversity,it,2017-10
1,US,2017-10-22,species diversity,es,2017-10
1,ES,2017-10-22,keystone species,es,2017-10
1,US,2017-10-22,ecology,fr,2017-10
3,IE,2017-10-22,extinction,es,2017-10
35,ES,2017-10-22,biosphere,es,2017-10
10,MX,2017-10-22,ecology,es,2017-10
20,IT,2017-10-22,ecology,pt,2017-10
14,IT,2017-10-22,climate change,it,2017-10
1,NL,2017-10-22,endemic species,es,2017-10
2,ES,2017-10-22,biodiversity,pt,2017-10
2,MX,2017-10-22,protected area,es,2017-10
2,BR,2017-10-22,ecology,pt,2017-10
5,AR,2017-10-22,extinction,es,2017-10
1,VE,2017-10-22,ecology,es,2017-10
1,US,2017-10-22,endangered species,es,2017-10
1,AR,2017-10-22,genetic diversity,es,2017-10
4,IT,2017-10-22,desertification,it,2017-10
1,NL,2017-10-22,extinction,es,2017-10
1,ES,2017-10-22,endangered species,es,2017-10
1,CU,2017-10-22,ecology,es,2017-10
1,TV,2017-10-22,ecology,es,2017-10
2,CA,2017-10-22,ecology,es,2017-10
3,CL,2017-10-22,extinction,es,2017-10
4,DE,2017-10-22,extinction,es,2017-10
1,IL,2017-10-22,extinction,es,2017-10
1,RU,2017-10-22,ecology,es,2017-10
1,FR,2017-10-22,extinction,es,2017-10
1,GR,2017-10-22,ecology,es,2017-10
1,BG,2017-10-22,extinction,es,2017-10
1,US,2017-10-22,desertification,es,2017-10
1,IE,2017-10-22,species diversity,es,2017-10
3,US,2017-10-22,climate change,it,2017-10
11,MX,2017-10-22,climate change,es,2017-10
1,PA,2017-10-22,climate change,es,2017-10
4,CL,2017-10-22,climate change,es,2017-10
1,CZ,2017-10-22,climate change,es,2017-10
2,US,2017-10-22,desertification,ar,2017-10
1,HN,2017-10-22,climate change,es,2017-10
3,US,2017-10-22,biodiversity,ar,2017-10
14,IR,2017-10-22,extinction,ar,2017-10
1,BO,2017-10-22,climate change,es,2017-10
1,NI,2017-10-22,climate change,es,2017-10
2,NL,2017-10-22,sustainability,es,2017-10
85,IR,2017-10-22,ecology,fa,2017-10
12,US,2017-10-22,extinction,ar,2017-10
2,CA,2017-10-22,sustainability,es,2017-10
1,IR,2017-10-22,protected area,fa,2017-10
2,UY,2017-10-22,climate change,es,2017-10
3,CU,2017-10-22,climate change,es,2017-10
1,FR,2017-10-22,desertification,ar,2017-10
1,DE,2017-10-22,biodiversity,ar,2017-10
4,DE,2017-10-22,extinction,ar,2017-10
4,AR,2017-10-22,climate change,es,2017-10
1,CA,2017-10-22,climate change,es,2017-10
2,CA,2017-10-22,biodiversity,ar,2017-10
2,CA,2017-10-22,extinction,ar,2017-10
2,BR,2017-10-22,protected area,es,2017-10
2,PE,2017-10-22,sustainability,es,2017-10
4,AR,2017-10-22,sustainability,es,2017-10
8,IR,2017-10-22,desertification,ur,2017-10
2,GB,2017-10-22,biodiversity,ar,2017-10
4,GB,2017-10-22,extinction,ar,2017-10
2,DE,2017-10-22,desertification,ar,2017-10
6,MX,2017-10-22,sustainability,es,2017-10
4,DO,2017-10-22,protected area,es,2017-10
1,DE,2017-10-22,climate change,es,2017-10
13,BR,2017-10-22,extinction,pt,2017-10
1,FR,2017-10-22,sustainability,es,2017-10
1,KY,2017-10-22,climate change,es,2017-10
2,CN,2017-10-22,climate change,es,2017-10
1,IL,2017-10-22,climate change,es,2017-10
1,CL,2017-10-22,sustainability,es,2017-10
1,DO,2017-10-22,sustainability,es,2017-10
4,DE,2017-10-22,ecology,fa,2017-10
1,CU,2017-10-22,sustainability,es,2017-10
2,GB,2017-10-22,climate change,ar,2017-10
1,IR,2017-10-22,climate change,ar,2017-10
2,FR,2017-10-22,climate change,ar,2017-10
1,PS,2017-10-22,climate change,ar,2017-10
1,CA,2017-10-22,desertification,ar,2017-10
1,CA,2017-10-22,climate change,ar,2017-10
1,GB,2017-10-22,desertification,ar,2017-10
2,KR,2017-10-22,extinction,ko,2017-10
15,BR,2017-10-22,deforestation,pt,2017-10
36,BR,2017-10-22,biodiversity,es,2017-10
36,BR,2017-10-22,biodiversity,pt,2017-10
2,PT,2017-10-22,biodiversity,es,2017-10
2,PT,2017-10-22,biodiversity,pt,2017-10
1,PT,2017-10-22,endangered species,pt,2017-10
3,PT,2017-10-22,extinction,pt,2017-10
23,BR,2017-10-22,sustainability,pt,2017-10
1,CV,2017-10-22,deforestation,pt,2017-10
6,US,2017-10-22,biodiversity,pt,2017-10
2,US,2017-10-22,extinction,pt,2017-10
1,US,2017-10-22,habitat destruction,pt,2017-10
4,PT,2017-10-22,desertification,pt,2017-10
3,US,2017-10-22,deforestation,pt,2017-10
1,KR,2017-10-22,biodiversity,ko,2017-10
1,KR,2017-10-22,ecosystem service,ko,2017-10
1,BR,2017-10-22,species diversity,pt,2017-10
1,DE,2017-10-22,extinction,pt,2017-10
30,PT,2017-10-22,sustainability,pt,2017-10
2,US,2017-10-22,sustainability,pt,2017-10
5,PT,2017-10-22,climate change,pt,2017-10
1,AO,2017-10-22,sustainability,pt,2017-10
1,TV,2017-10-22,extinction,th,2017-10
1,TV,2017-10-22,sustainability,th,2017-10
2,TR,2017-10-22,biosphere,tr,2017-10
3,US,2017-10-22,biodiversity,tr,2017-10
1,DE,2017-10-22,biodiversity,tr,2017-10
6,TR,2017-10-22,biodiversity,tr,2017-10
1,NL,2017-10-22,biodiversity,tr,2017-10
3,CA,2017-10-22,biodiversity,fr,2017-10
2,RE,2017-10-22,biodiversity,fr,2017-10
8,TR,2017-10-22,climate change,tr,2017-10
3,BE,2017-10-22,biodiversity,fr,2017-10
2,DE,2017-10-22,climate change,tr,2017-10
4,US,2017-10-22,climate change,tr,2017-10
16,FR,2017-10-22,ecology,nl,2017-10
5,TR,2017-10-22,sustainability,tr,2017-10
1,DE,2017-10-22,biodiversity,fr,2017-10
4,US,2017-10-22,biodiversity,fr,2017-10
5,CH,2017-10-22,biodiversity,fr,2017-10
1,NL,2017-10-22,biodiversity,fr,2017-10
1,CH,2017-10-22,ecology,fr,2017-10
1,US,2017-10-22,sustainability,tr,2017-10
1,FR,2017-10-22,endemic species,fr,2017-10
1,US,2017-10-22,sustainability,fr,2017-10
2,US,2017-10-22,climate change,fr,2017-10
3,FR,2017-10-22,sustainability,fr,2017-10
1,CA,2017-10-22,invasive species,fr,2017-10
1,CA,2017-10-22,climate change,fr,2017-10
