country,month,trends,twitter,news,overall
SB,2018-1,,,14.0728476821,
PT,2018-2,7.59090909091,1.83785374619,4.87816799863,4.76897694524
SI,2018-1,2.86363636364,4.86806829406,0.561400198141,2.76436828528
SC,2018-1,,6.98578544527,8.94736842105,7.96657693316
SA,2018-1,1.63636363636,0.982863980172,2.61528275432,1.74483679029
SM,2018-1,,,6.7246835443,
WS,2018-1,,,7.83410138249,
RU,2018-1,4.04545454545,2.22614755487,1.95673219438,2.74277809824
RE,2018-1,4.0,4.65022240194,11.4984391259,6.71622050928
PL,2018-1,4.77272727273,3.36222612046,1.27439902922,3.13645080747
PN,2018-1,,,,
PY,2018-1,2.40909090909,5.32955715757,1.06190319394,2.93351708687
JP,2018-2,7.86363636364,3.99487148062,0.249707873801,4.03607190602
PG,2018-1,,,3.36967294351,
PA,2018-1,4.77272727273,7.13198398827,5.75499921272,5.88657015791
PW,2018-1,,,2.19072164948,
NO,2018-1,4.31818181818,4.70262165478,0.732257470539,3.2510203145
MP,2018-1,,,,
NU,2018-1,,,2.49776414974,
NE,2018-1,4.54545454545,,,
NI,2018-1,0.636363636364,1.51821862348,10.3951081844,4.18323014808
NC,2018-1,,,3.1875,
RS,2018-1,2.45454545455,4.93519869539,0.112350639738,2.50069826322
NR,2018-1,,,,
NA,2018-1,,,9.83796296296,
LK,2018-2,2.04545454545,6.51766402307,5.45171339564,4.67161065472
MM,2018-1,1.86363636364,1.24029335634,2.60071392147,1.90154788048
OM,2018-1,,1.89776805974,9.90675990676,5.90226398325
MZ,2018-1,,9.73338975878,6.88259109312,8.30799042595
MH,2018-2,,,,
MA,2018-1,3.59090909091,3.14996576124,1.15417996528,2.63168493914
MS,2018-1,,,3.63247863248,
MN,2018-1,1.5,,1.34992059291,1.42496029645
MC,2018-1,,5.63173359452,5.51948051948,5.575607057
MD,2018-1,3.54545454545,,1.89499912572,2.72022683559
SK,2018-1,2.40909090909,1.10539722209,0.757563368765,1.42401716665
YT,2018-1,,,,
MU,2018-1,2.04545454545,7.60026435702,2.24113135187,3.96228341812
MR,2018-1,0.727272727273,,6.18932038835,3.45829655781
MQ,2018-1,,4.50185946369,,
MH,2018-1,,,18.4782608696,
VI,2018-2,,7.88555478018,,
MT,2018-1,1.13636363636,8.27226543182,11.0721442886,6.82692445225
ML,2018-1,,4.85847063794,2.46615087041,3.66231075417
MW,2018-1,,5.34635053464,9.57207207207,7.45921130335
MG,2018-1,2.36363636364,4.47935601143,,3.42149618753
MK,2018-1,,,,
LT,2018-1,6.13636363636,4.71021912759,0.117160578911,3.65458111429
MK,2018-2,,,,
LY,2018-1,0.363636363636,1.90428878953,0.729989694263,0.999304949145
LR,2018-1,,5.28735632184,,
LB,2018-1,3.86363636364,2.42778227367,0.402509766781,2.23130946803
LA,2018-1,,6.65894614939,0.863821138211,3.7613836438
XK,2018-1,,2.32323232323,,
KI,2018-1,,7.33886407147,,
QA,2018-1,2.5,3.12622708189,2.46039000609,2.69553902933
KE,2018-1,9.95454545455,5.78133747701,6.35241364039,7.36276552398
KZ,2018-1,8.09090909091,3.2686705038,1.61808654358,4.32588871276
JO,2018-1,0.818181818182,3.24950551003,0.427565392354,1.49841757352
JE,2018-1,,18.5723514212,,
BO,2018-2,5.95454545455,7.54037101295,9.82567353407,7.77353000052
JM,2018-1,1.36363636364,6.47639574498,13.7096774194,7.18323650932
HU,2018-1,3.04545454545,4.85150185623,0.201248927166,2.69940177628
HK,2018-1,7.95454545455,5.09375461391,1.78418089877,4.94416032241
HM,2018-1,,,,
HT,2018-1,1.40909090909,2.47844827586,,1.94376959248
GN,2018-1,,16.8869309838,,
GP,2018-1,,3.01047120419,,
GD,2018-1,,6.97486353528,,
GI,2018-1,,,9.34065934066,
SO,2018-2,,5.40325151419,14.4869215292,9.94508652168
BW,2018-2,,,5.09554140127,
GH,2018-1,5.22727272727,2.50481695568,2.90102389078,3.54437119125
VN,2018-2,3.90909090909,2.20509317982,0.530911925504,2.21503200481
VI,2018-1,,,,
DE,2018-1,4.95454545455,5.96279979128,2.92576289665,4.61436938083
GE,2018-1,,2.2062702841,0.13341704599,1.16984366504
GF,2018-1,,,,
FJ,2018-1,8.59090909091,6.85339690107,16.0102739726,10.4848599882
PH,2018-2,18.3181818182,1.48971061093,2.60420564245,7.47069935719
FO,2018-1,,100.0,,
FK,2018-1,,,,
EE,2018-1,1.59090909091,6.2613430127,0.653238490134,2.83516353125
GQ,2018-1,,,,
DM,2018-1,,9.69237252423,,
DJ,2018-1,4.54545454545,17.9127725857,,11.2291135656
DK,2018-1,8.22727272727,10.1469096043,3.54382873633,7.30600368929
CW,2018-1,,,,
