"country","issue","set","month","mentions","baseline","rate"
"AE","ecosystem service","issue","2018-3",3,21724,0.000138096114895968
"AE","ecosystem service","issue","2018-4",0,20327,0
"AE","ecosystem service","issue","2018-5",0,1476,0
"AE","endangered species","issue","2017-11",9,23229,0.000387446726075165
"AE","endangered species","issue","2017-12",3,21198,0.000141522785168412
"AE","endangered species","issue","2018-1",8,21614,0.000370130470991024
"AE","endangered species","issue","2018-2",10,20846,0.000479708337330903
"AE","endangered species","issue","2018-3",8,21724,0.000368256306389247
"AE","endangered species","issue","2018-4",7,20327,0.000344369557731097
"AE","endangered species","issue","2018-5",0,1476,0
"AE","endemic species","issue","2017-11",2,23229,8.60992724611477e-05
"AE","endemic species","issue","2017-12",0,21198,0
"AE","endemic species","issue","2018-1",0,21614,0
"AE","endemic species","issue","2018-2",0,20846,0
"AE","endemic species","issue","2018-3",0,21724,0
"AE","endemic species","issue","2018-4",2,20327,9.83913022088847e-05
"AE","endemic species","issue","2018-5",0,1476,0
"AE","extinction","issue","2017-11",38,23229,0.00163588617676181
"AE","extinction","issue","2017-12",28,21198,0.00132087932823851
"AE","extinction","issue","2018-1",36,21614,0.00166558711945961
"AE","extinction","issue","2018-2",42,20846,0.00201477501678979
"AE","extinction","issue","2018-3",48,21724,0.00220953783833548
"AE","extinction","issue","2018-4",32,20327,0.00157426083534216
"AE","extinction","issue","2018-5",0,1476,0
"AE","genetic diversity","issue","2017-11",0,23229,0
"AE","genetic diversity","issue","2017-12",0,21198,0
"AE","genetic diversity","issue","2018-1",0,21614,0
"AE","genetic diversity","issue","2018-2",0,20846,0
"AE","genetic diversity","issue","2018-3",1,21724,4.60320382986559e-05
"AE","genetic diversity","issue","2018-4",1,20327,4.91956511044424e-05
"AE","genetic diversity","issue","2018-5",0,1476,0
"AE","habitat destruction","issue","2017-11",1,23229,4.30496362305739e-05
"AE","habitat destruction","issue","2017-12",3,21198,0.000141522785168412
"AE","habitat destruction","issue","2018-1",0,21614,0
"AE","habitat destruction","issue","2018-2",0,20846,0
"AE","habitat destruction","issue","2018-3",0,21724,0
"AE","habitat destruction","issue","2018-4",1,20327,4.91956511044424e-05
"AE","habitat destruction","issue","2018-5",0,1476,0
"AE","habitat fragmentation","issue","2017-11",0,23229,0
